melamin_hatti,n_line,feature,base_pred,p10_value,p10_pred,p10_delta,p90_value,p90_pred,p90_delta,swing_p90_minus_p10
M12,180,plaka_sicakliklari_min,25.322660291215353,143.89000000000001,25.256198476579954,-0.06646181463539946,183.63,25.322660291215353,0.0,0.06646181463539946
M12,180,max_ust_yogunluk,25.322660291215353,881.25,25.322660291215353,0.0,1004.57,25.756393825174644,0.43373353395929115,0.43373353395929115
M12,180,max_alt_yogunluk,25.322660291215353,887.13,25.841367356540694,0.5187070653253407,1016.8,25.30068145838077,-0.02197883283458424,-0.540685898159925
M13,178,ozgul_basinc_max,24.883074127203063,34.483,25.114321993991794,0.23124786678873122,61.519000000000005,24.588686667920026,-0.2943874592830369,-0.5256353260717681
M13,178,ozgul_basinc_min,24.883074127203063,21.07,24.763522496833826,-0.11955163036923722,29.057000000000002,24.956250094625275,0.07317596742221255,0.19272759779144977
M13,178,olu_zaman_max,24.883074127203063,21.13,25.237565400349,0.35449127314593554,22.713,24.763951304965385,-0.1191228222376779,-0.47361409538361343
M13,178,ure_jel_suresi,24.883074127203063,2.7939999999999996,24.696291986517068,-0.1867821406859953,5.187000000000001,24.970682382739884,0.08760825553682139,0.2743903962228167
M13,178,kagit_sag_recine,24.883074127203063,62.578,25.002436098682086,0.11936197147902305,66.296,24.835200783054578,-0.047873344148484875,-0.16723531562750793
M13,178,kagit_sol_recine,24.883074127203063,63.3,25.109767015038205,0.2266928878351422,65.73,25.365968179922213,0.48289405271914987,0.2562011648840077
M13,178,kagit_sag_nem,24.883074127203063,6.5556,25.279159640658516,0.3960855134554535,7.739,24.78087578299101,-0.1021983442120522,-0.4982838576675057
M13,178,kagit_sol_nem,24.883074127203063,6.1,24.888830466852266,0.005756339649202857,6.9300000000000015,24.859833910268804,-0.023240216934258484,-0.02899655658346134
M13,178,plaka_sicakliklari_max,24.883074127203063,156.87,24.883074127203063,0.0,213.39000000000001,24.883074127203063,0.0,0.0
M13,178,plaka_sicakliklari_min,24.883074127203063,145.14,24.64151689874255,-0.2415572284605112,184.37,24.883074127203063,0.0,0.2415572284605112
M13,178,max_ust_yogunluk,24.883074127203063,882.11,24.883074127203063,0.0,1004.75,25.316807661162354,0.43373353395929115,0.43373353395929115
M13,178,max_alt_yogunluk,24.883074127203063,884.3,25.243853147843506,0.3607790206404431,1013.7,24.996998169961866,0.11392404275880352,-0.24685497788163957
M7,178,ozgul_basinc_max,25.322660291215353,33.937999999999995,25.114321993991794,-0.208338297223559,60.968,24.330955226927674,-0.9917050642876788,-0.7833667670641198
M7,178,ozgul_basinc_min,25.322660291215353,21.09,24.952011262848156,-0.3706490283671968,28.797,25.395836258637566,0.07317596742221255,0.44382499578940937
M7,178,olu_zaman_max,25.322660291215353,21.167,25.476575203902527,0.15391491268717417,22.76,24.760075263792427,-0.5625850274229265,-0.7164999401101007
M7,178,ure_jel_suresi,25.322660291215353,2.694,25.135878150529358,-0.1867821406859953,5.13,25.0167310765082,-0.3059292147071524,-0.1191470740211571
M7,178,kagit_sag_recine,25.322660291215353,62.45,25.442022262694376,0.11936197147902305,66.223,25.27478694706687,-0.047873344148484875,-0.16723531562750793
M7,178,kagit_sol_recine,25.322660291215353,63.2,25.549353179050495,0.2266928878351422,65.7,25.77727979766985,0.45461950645449534,0.22792661861935315
M7,178,kagit_sag_nem,25.322660291215353,6.497199999999999,25.63765210330404,0.3149918120886852,7.7797,25.2204619470033,-0.1021983442120522,-0.4171901563007374
M7,178,kagit_sol_nem,25.322660291215353,6.1,25.429624650844872,0.10696435962951867,6.9,25.299420074281095,-0.023240216934258484,-0.13020457656377715
M7,178,plaka_sicakliklari_max,25.322660291215353,156.78,25.322660291215353,0.0,214.13,25.322660291215353,0.0,0.0
M7,178,plaka_sicakliklari_min,25.322660291215353,147.3,25.322660291215353,0.0,184.73,25.322660291215353,0.0,0.0
M7,178,max_ust_yogunluk,25.322660291215353,886.1,25.322660291215353,0.0,1004.7900000000001,25.756393825174644,0.43373353395929115,0.43373353395929115
M7,178,max_alt_yogunluk,25.322660291215353,886.75,25.841367356540694,0.5187070653253407,1004.03,25.560357990499668,0.23769769928431472,-0.281009366041026
